706481 -69763 1342 -704284 0 0 0
700256 -67871 -11474 -710571 0 0 0
691650 -68298 -25329 -718566 0 0 0
684326 -66894 -39916 -725036 0 0 0
681640 -65979 -50292 -726989 0 0 0
683044 -65490 -58410 -725097 0 0 0
690307 -70861 -74218 -716186 0 0 0
693725 -68298 -77209 -712829 0 0 0
695861 -65368 -70983 -711669 0 0 0
711059 -70495 -77148 -695312 0 0 0
729492 -66467 -88134 -675048 0 0 0
738220 -62561 -85266 -666259 0 0 0
747253 -68603 -87646 -655151 0 0 0
753479 -68237 -87280 -648071 0 0 0
757812 -71411 -89538 -642395 0 0 0
761230 -73181 -91125 -637878 0 0 0
763916 -75561 -92285 -634155 0 0 0
765197 -78125 -90087 -632629 0 0 0
765869 -84350 -92590 -630676 0 0 0
768432 -90332 -98449 -625854 0 0 0
771240 -96252 -102416 -620849 0 0 0
772949 -111938 -106201 -615356 0 0 0
775085 -116027 -108154 -611572 0 0 0
776245 -128112 -111328 -607177 0 0 0
778564 -140014 -114624 -600952 0 0 0
780456 -151367 -116333 -595336 0 0 0
780212 -172668 -118896 -589355 0 0 0
782348 -185546 -119323 -582458 0 0 0
787658 -194152 -116271 -573059 0 0 0
796447 -191406 -110168 -562927 0 0 0
808471 -189392 -99975 -548156 0 0 0
818481 -182739 -90637 -537109 0 0 0
830566 -169677 -74218 -525268 0 0 0
847290 -140747 -51269 -509582 0 0 0
865966 -114807 -24963 -486084 0 0 0
882019 -100952 -2380 -460266 0 0 0
897277 -87951 17883 -432189 0 0 0
910766 -74646 35766 -404541 0 0 0
923034 -65673 51330 -375549 0 0 0
930480 -61157 60852 -356018 0 0 0
937316 -66528 71777 -334533 0 0 0
943176 -66223 76660 -316406 0 0 0
947509 -60852 84350 -302307 0 0 0
-1049011 -53833 89904 -290893 0 0 0
953002 -55725 100097 -280395 0 0 0
956543 -52307 106994 -266052 0 0 0
959472 -50048 110046 -254516 0 0 0
962036 -47241 114746 -243103 0 0 0
963195 -54992 128112 -229675 0 0 0
966186 -60241 137329 -209716 0 0 0
970764 -58227 137817 -187683 0 0 0
974060 -61279 129577 -175109 0 0 0
977233 -67260 115112 -165222 0 0 0
978759 -75805 103576 -159973 0 0 0
980224 -84045 87280 -156311 0 0 0
981323 -86730 72998 -155273 0 0 0
981628 -85266 59509 -159973 0 0 0
979492 -87646 46264 -175476 0 0 0
976379 -81726 41076 -195678 0 0 0
971435 -74401 40893 -221679 0 0 0
965271 -69519 42968 -248046 0 0 0
955627 -66223 49987 -282653 0 0 0
943359 -62683 56396 -320800 0 0 0
931396 -58776 59814 -354309 0 0 0
914306 -55908 61584 -396362 0 0 0
896301 -55114 64575 -435180 0 0 0
875610 -59082 65734 -474792 0 0 0
853942 -62622 65734 -512329 0 0 0
832519 -63598 65490 -546447 0 0 0
812133 -64453 65185 -576232 0 0 0
789733 -66345 62377 -606689 0 0 0
769958 -63598 48706 -632995 0 0 0
749633 -65795 20629 -658264 0 0 0
737243 -65795 -10925 -672363 0 0 0
731628 -66406 -37292 -677429 0 0 0
729126 -86425 -58715 -676330 0 0 0
732910 -107238 -60485 -669128 0 0 0
744201 -112060 -43823 -656982 0 0 0
757385 -111267 -22460 -643066 0 0 0
770874 -113708 -2502 -626770 0 0 0
787536 -110595 7629 -606201 0 0 0
805786 -107177 7873 -582336 0 0 0
823974 -104492 -5493 -556823 0 0 0
832214 -105468 -21545 -543884 0 0 0
837951 -110046 -38269 -533203 0 0 0
839111 -113891 -55969 -528930 0 0 0
835510 -117370 -75500 -531494 0 0 0
828979 -122131 -90759 -538147 0 0 0
818298 -125793 -100036 -551818 0 0 0
808166 -129028 -105529 -564941 0 0 0
796020 -130004 -110534 -580749 0 0 0
782470 -131530 -115844 -597534 0 0 0
770568 -126342 -123474 -612426 0 0 0
759094 -121948 -132507 -625549 0 0 0
751892 -116760 -139465 -633667 0 0 0
743225 -110717 -146911 -643249 0 0 0
739868 -103332 -154296 -646606 0 0 0
740173 -94970 -162902 -645446 0 0 0
747253 -88134 -164062 -637939 0 0 0
759399 -80749 -159912 -625488 0 0 0
779235 -73181 -140991 -606262 0 0 0
800903 -69213 -125610 -581359 0 0 0
816772 -70068 -122558 -559387 0 0 0
839233 -82275 -99914 -528137 0 0 0
862609 -116210 -56274 -489074 0 0 0
888122 -120971 -6164 -443298 0 0 0
908813 -132812 41015 -393432 0 0 0
924621 -136291 88623 -344482 0 0 0
932189 -138122 132507 -307250 0 0 0
937683 -138793 171142 -268737 0 0 0
